"","zpid","bathrooms","bedrooms","sqft","st","city","state","lat","long","valuation","lowval","highval","nb","nbid"
"1","2096383529","4.0","4","3655","1 John St","Brooklyn","NY","40.705134","-73.987486","8073177","7588786","8557568","DUMBO","270841"
"2","121711481",NA,NA,"2156","183 Plymouth St","Brooklyn","NY","40.703775","-73.985886","3875849","3682057","4069641","DUMBO","270841"
"3","121711954",NA,NA,"3056","183 Plymouth St","Brooklyn","NY","40.703775","-73.985886","4865945","4622648","5109242","DUMBO","270841"
"4","122026423",NA,NA,NA,"183 Plymouth St","Brooklyn","NY","40.703775","-73.985886","4521751","4295663","4747839","DUMBO","270841"
"5","62646114","1.0","1","2200","1 Main St","Brooklyn","NY","40.703555","-73.990209","","","","DUMBO","270841"
"6","2099573457","1.0","1",NA,"1 Main St","Brooklyn","NY","40.7034","-73.99062","1411114","1298225","1524003","DUMBO","270841"
"7","2103153874","1.0","1","600","25 Washington St","Brooklyn","NY","40.703655","-73.989191","","","","DUMBO","270841"
"8","68312443","2.0","2","1400","31 Washington St","Brooklyn","NY","40.703379","-73.989319","","","","DUMBO","270841"
"9","89069537","1.0","1","1100","133 Water St","Brooklyn","NY","40.703342","-73.989013","","","","DUMBO","270841"
"10","2099312960","1.0","1",NA,"133 Water St","Brooklyn","NY","40.70334","-73.98901","1185979","1102960","1328296","DUMBO","270841"
"11","62646115",NA,NA,"20935","218 Plymouth St","Brooklyn","NY","40.703554","-73.984884","","","","DUMBO","270841"
"12","116082303","1.0","1","2187","205 Water St","Brooklyn","NY","40.703128","-73.98591","3648021","3465620","3866902","DUMBO","270841"
"13","116172074","1.0","1","125985","205 Water St","Brooklyn","NY","40.703128","-73.98591","","","","DUMBO","270841"
"14","2099289935","1.0","1",NA,"205 Water St","Brooklyn","NY","40.70313","-73.98591","1059120","984982","1186214","DUMBO","270841"
"15","115876467","1.0","1","1100","37 Bridge St","Brooklyn","NY","40.703426","-73.98436","1179003","1084683","1285113","Vinegar Hill","270960"
